conm,wedding,photo,wedding+photo,fitting_fee,helper,min_fee,subway
더케네스블랑,110,110,132,5.5,25,182,청담역
더에이미,154,154,176,5.5,25,226,압구정로데오역
마리레나바이블랑,88,88,99,5.5,25,149,강남구청역
메라키웨딩,143,143,154,5.5,25,204,학동역
메이제인바이김영주,143,143,165,5.5,25,215,압구정로데오역
모네뜨아르,105,105,121,5.5,25,171,압구정로데오역
모니카블랑쉬,198,198,209,5.5,25,259,강남구청역
모리엠포티,143,143,165,5.5,25,215,압구정로데오역
보네르웨딩,176,176,198,5.5,25,248,강남구청역
보니타베일리,154,154,176,5.5,25,226,압구정로데오역
브라이드벨라,83,83,100,5.5,25,150,강남구청역
브라이드케이,110,110,121,5.5,25,171,강남구청역
모니카블랑쉬,143,143,154,5.5,25,204,강남구청역
시즌알렉스,209,209,242,5.5,25,292,압구정로데오역
아르비체,110,110,121,5.5,25,171,강남구청역
아비가일웨딩드레스,110,110,132,5.5,25,182,압구정로데오역
테오마이,255,255,275,5.5,25,325,청담역
안나스포사,121,121,132,5.5,25,182,강남구청역
알렉산드라웨딩드레스,152,152,176,5.5,25,226,압구정로데오역
우아르웨딩,121,121,143,5.5,25,193,강남구청역
제이스포사,132,132,154,5.5,25,204,강남구청역
크리드제이,154,154,165,5.5,25,215,청담역
클라라웨딩,187,154,220,5.5,25,270,압구정로데오역
아이테오,209,209,231,5.5,25,281,청담역
폴라리스웨딩,110,110,121,5.5,25,171,강남구청역
하우스오브에이미,198,154,220,5.5,25,270,압구정로데오역
황정아웨딩앤드레스부티크,264,264,297,5.5,25,347,압구정로데오역
메종레브,500,500,600,10,25,650,압구정로데오역
브라이덜공&블랙공,385,385,495,10,25,545,압구정로데오역
소유브라이덜,550,550,700,10,25,750,압구정로데오역
아틀리에쿠,400,400,800,10,25,850,강남구청역
엔조최재훈,300,300,390,5.5,25,440,압구정로데오역
엘리자베스럭스,500,500,800,10,25,850,압구정로데오역
케일라베넷,550,550,700,10,25,750,청담역
프리다브라이덜,550,550,660,10,25,710,압구정로데오역
핑크공브라이드,330,330,385,10,25,435,압구정로데오역