conm,season(T/F),peak(T/F),hall_rental_fee,meal_expense,num_guarantors,min_fee,snapphoto,snapvideo,subway
더채플앳청담(채플홀),TRUE,TRUE,1100,11,300,4400,88,66,압구정로데오역
더채플앳청담(채플홀),TRUE,FALSE,1100,11,300,4400,88,66,압구정로데오역
더채플앳청담(채플홀),FALSE,TRUE,1100,10,300,4100,88,66,압구정로데오역
더채플앳청담(채플홀),FALSE,FALSE,902,10,300,3902,88,66,압구정로데오역
더채플앳청담(커티지홀),TRUE,TRUE,1100,11,300,4400,88,66,압구정로데오역
더채플앳청담(커티지홀),TRUE,FALSE,1100,11,300,4400,88,66,압구정로데오역
더채플앳청담(커티지홀),FALSE,TRUE,1100,10,300,4100,88,66,압구정로데오역
더채플앳청담(커티지홀),FALSE,FALSE,902,10,300,3902,88,66,압구정로데오역
더채플앳논현(라포레홀),TRUE,TRUE,1200,12,300,4800,88,66,언주역
더채플앳논현(라포레홀),TRUE,FALSE,1200,12,300,4800,88,66,언주역
더채플앳논현(라포레홀),FALSE,TRUE,1200,11,300,4500,88,66,언주역
더채플앳논현(라포레홀),FALSE,FALSE,1100,11,300,4400,88,66,언주역
더채플앳논현(라메르홀),TRUE,TRUE,1200,12,300,4800,88,66,언주역
더채플앳논현(라메르홀),TRUE,FALSE,1200,12,300,4800,88,66,언주역
더채플앳논현(라메르홀),FALSE,TRUE,1200,11,300,4500,88,66,언주역
더채플앳논현(라메르홀),FALSE,FALSE,1100,11,300,4400,88,66,언주역
더채플앳대치,TRUE,TRUE,1782,13.2,270,5346,88,66,삼성역
더채플앳대치,TRUE,FALSE,1782,13.2,270,5346,88,66,삼성역
더채플앳대치,FALSE,TRUE,1782,12.2,270,5076,88,66,삼성역
더채플앳대치,FALSE,FALSE,1682,12.2,270,4976,88,66,삼성역
아펠가모잠실,TRUE,TRUE,1000,10,300,4000,77,66,잠실역
아펠가모잠실,TRUE,FALSE,1000,10,300,4000,77,66,잠실역
아펠가모잠실,FALSE,TRUE,1000,9,300,3700,77,66,잠실역
아펠가모잠실,FALSE,FALSE,770,9,300,3470,77,66,잠실역
아펠가모반포,TRUE,TRUE,1000,10,300,4000,90,22,고속터미널역
아펠가모반포,TRUE,FALSE,1000,10,300,4000,90,22,고속터미널역
아펠가모반포,FALSE,TRUE,1000,9,300,3700,90,22,고속터미널역
아펠가모반포,FALSE,FALSE,770,9,300,3470,90,22,고속터미널역
아펠가모광화문,TRUE,TRUE,1000,10,300,4000,90,22,광화문역
아펠가모광화문,TRUE,FALSE,1000,10,300,4000,90,22,광화문역
아펠가모광화문,FALSE,TRUE,1000,9,300,3700,90,22,광화문역
아펠가모광화문,FALSE,FALSE,770,9,300,3470,90,22,광화문역
아펠가모선릉,TRUE,TRUE,1000,10,300,4000,77,66,선릉역
아펠가모선릉,TRUE,FALSE,1000,10,300,4000,77,66,선릉역
아펠가모선릉,FALSE,TRUE,1000,9,300,3700,77,66,선릉역
아펠가모선릉,FALSE,FALSE,770,9,300,3470,77,66,선릉역
아펠가모공덕,TRUE,TRUE,1000,10,300,4000,90,22,공덕역
아펠가모공덕,TRUE,FALSE,1000,10,300,4000,90,22,공덕역
아펠가모공덕,FALSE,TRUE,1000,9,300,3700,90,22,공덕역
아펠가모공덕,FALSE,FALSE,770,9,300,3470,90,22,공덕역
루벨강동,TRUE,TRUE,900,9,300,3600,77,66,강동역
루벨강동,TRUE,FALSE,900,8,300,3300,77,66,강동역
루벨강동,FALSE,TRUE,900,9,300,3600,77,66,강동역
루벨강동,FALSE,FALSE,800,8,300,3200,77,66,강동역